Date,Close
2014-01-02,3.97
2014-01-03,3.92
2014-01-06,3.97
2014-01-07,4.04
2014-01-08,4.09
2014-01-09,3.94
2014-01-10,3.93
2014-01-13,3.84
2014-01-14,3.96
2014-01-15,4
2014-01-16,4.01
2014-01-17,4
2014-01-21,4.01
2014-01-22,4.01
2014-01-23,3.99
2014-01-24,3.89
2014-01-27,3.87
2014-01-28,3.9
2014-01-29,3.87
2014-01-30,3.93
2014-01-31,3.93
2014-02-03,3.87
2014-02-04,3.9
2014-02-05,3.86
2014-02-06,3.91
2014-02-07,3.97
2014-02-10,3.98
2014-02-11,4.06
2014-02-12,4.21
2014-02-13,4.34
2014-02-14,4.48
2014-02-18,4.47
2014-02-19,4.54
2014-02-20,4.7
2014-02-21,4.66
2014-02-24,4.73
2014-02-25,4.68
2014-02-26,4.68
2014-02-27,4.63
2014-02-28,4.6
2014-03-03,4.57
2014-03-04,4.62
2014-03-05,4.66
2014-03-06,4.6
2014-03-07,4.59
2014-03-10,4.52
2014-03-11,4.57
2014-03-12,4.58
2014-03-13,4.43
2014-03-14,4.46
2014-03-17,4.46
2014-03-18,4.56
2014-03-19,4.64
2014-03-20,4.64
2014-03-21,4.64
2014-03-24,4.61
2014-03-25,4.61
2014-03-26,4.51
2014-03-27,4.45
2014-03-28,4.47
2014-03-31,4.48
2014-04-01,4.66
2014-04-02,4.63
2014-04-03,4.68
2014-04-04,4.54
2014-04-07,4.55
2014-04-08,4.72
2014-04-09,4.71
2014-04-10,4.6
2014-04-11,4.53
2014-04-14,4.58
2014-04-15,4.61
2014-04-16,4.62
2014-04-17,4.64
2014-04-21,4.68
2014-04-22,4.72
2014-04-23,4.77
2014-04-24,4.82
2014-04-25,4.68
2014-04-28,4.66
2014-04-29,4.67
2014-04-30,4.62
2014-05-01,4.64
2014-05-02,4.61
2014-05-05,4.66
2014-05-06,4.56
2014-05-07,4.57
2014-05-08,4.63
2014-05-09,4.51
2014-05-12,4.64
2014-05-13,4.57
2014-05-14,4.53
2014-05-15,4.5
2014-05-16,4.49
2014-05-19,4.64
2014-05-20,4.56
2014-05-21,4.56
2014-05-22,4.58
2014-05-23,4.62
2014-05-27,4.71
2014-05-28,4.75
2014-05-29,4.74
2014-05-30,4.75
2014-06-02,4.74
2014-06-03,4.72
2014-06-04,4.72
2014-06-05,4.74
2014-06-06,4.76
2014-06-09,4.76
2014-06-10,4.79
2014-06-11,4.85
2014-06-12,4.88
2014-06-13,4.89
2014-06-16,4.87
2014-06-17,4.9
2014-06-18,4.9
2014-06-19,4.78
2014-06-20,4.73
2014-06-23,4.68
2014-06-24,4.61
2014-06-25,4.65
2014-06-26,4.59
2014-06-27,4.6
2014-06-30,4.64
2014-07-01,4.69
2014-07-02,4.67
2014-07-03,4.71
2014-07-07,4.68
2014-07-08,4.64
2014-07-09,4.78
2014-07-10,4.75
2014-07-11,4.76
2014-07-14,4.82
2014-07-15,4.84
2014-07-16,4.84
2014-07-17,4.83
2014-07-18,4.61
2014-07-21,4.64
2014-07-22,4.62
2014-07-23,4.52
2014-07-24,4.53
2014-07-25,4.45
2014-07-28,4.43
2014-07-29,4.45
2014-07-30,4.52
2014-07-31,4.38
2014-08-01,4.42
2014-08-04,4.41
2014-08-05,4.42
2014-08-06,4.41
2014-08-07,4.37
2014-08-08,4.75
2014-08-11,4.72
2014-08-12,4.72
2014-08-13,4.75
2014-08-14,4.7
2014-08-15,4.76
2014-08-18,4.83
2014-08-19,4.84
2014-08-20,4.81
2014-08-21,4.77
2014-08-22,4.77
2014-08-25,4.78
2014-08-26,4.86
2014-08-27,4.81
2014-08-28,4.85
2014-08-29,4.86
2014-09-02,4.87
2014-09-03,4.92
2014-09-04,5.01
2014-09-05,4.99
2014-09-08,4.95
2014-09-09,4.89
2014-09-10,4.9
2014-09-11,4.85
2014-09-12,4.78
2014-09-15,4.72
2014-09-16,4.78
2014-09-17,4.79
2014-09-18,4.86
2014-09-19,4.77
2014-09-22,4.72
2014-09-23,4.7
2014-09-24,4.73
2014-09-25,4.63
2014-09-26,4.64
2014-09-29,4.63
2014-09-30,4.61
2014-10-01,4.57
2014-10-02,4.55
2014-10-03,4.56
2014-10-06,4.53
2014-10-07,4.48
2014-10-08,4.57
2014-10-09,4.48
2014-10-10,4.21
2014-10-13,4.2
2014-10-14,4.29
2014-10-15,4.36
2014-10-16,4.36
2014-10-17,4.36
2014-10-20,4.39
2014-10-21,4.58
2014-10-22,4.47
2014-10-23,4.57
2014-10-24,4.62
2014-10-27,4.62
2014-10-28,4.73
2014-10-29,4.7
2014-10-30,4.67
2014-10-31,4.89
2014-11-03,4.97
2014-11-04,5.03
2014-11-05,5.03
2014-11-06,5.06
2014-11-07,4.95
2014-11-10,5.01
2014-11-11,4.95
2014-11-12,4.91
2014-11-13,4.89
2014-11-14,4.95
2014-11-17,4.92
2014-11-18,5.04
2014-11-19,5
2014-11-20,5.09
2014-11-21,5.11
2014-11-24,5.15
2014-11-25,5.14
2014-11-26,5.23
2014-11-28,5.24
2014-12-01,5.15
2014-12-02,5.15
2014-12-03,5.29
2014-12-04,5.24
2014-12-05,5.27
2014-12-08,5.2
2014-12-09,5.18
2014-12-10,5.07
2014-12-11,5.07
2014-12-12,4.91
2014-12-15,4.89
2014-12-16,4.84
2014-12-17,5.04
2014-12-18,5.06
2014-12-19,5.11
2014-12-22,5.2
2014-12-23,5.16
2014-12-24,5.14
2014-12-26,5.15
2014-12-29,5.14
2014-12-30,5.09
2014-12-31,5.01
2015-01-02,5.03
2015-01-05,4.95
2015-01-06,4.8
2015-01-07,4.78
2015-01-08,4.97
2015-01-09,4.99
2015-01-12,4.92
2015-01-13,4.91
2015-01-14,4.93
2015-01-15,4.9
2015-01-16,4.99
2015-01-20,5.01
2015-01-21,5.08
2015-01-22,5.16
2015-01-23,5.18
2015-01-26,5.15
2015-01-27,4.91
2015-01-28,4.83
2015-01-29,4.95
2015-01-30,4.8
2015-02-02,4.91
2015-02-03,5.03
2015-02-04,5.04
2015-02-05,5.12
2015-02-06,5.1
2015-02-09,5.1
2015-02-10,5.24
2015-02-11,5.2
2015-02-12,5.58
2015-02-13,5.58
2015-02-17,5.59
2015-02-18,5.53
2015-02-19,5.54
2015-02-20,5.58
2015-02-23,5.54
2015-02-24,5.58
2015-02-25,5.54
2015-02-26,5.55
2015-02-27,5.52
2015-03-02,5.65
2015-03-03,5.55
2015-03-04,5.61
2015-03-05,5.72
2015-03-06,5.64
2015-03-09,5.65
2015-03-10,5.75
2015-03-11,5.72
2015-03-12,5.67
2015-03-13,5.68
2015-03-16,5.74
2015-03-17,5.81
2015-03-18,5.72
2015-03-19,5.8
2015-03-20,5.87
2015-03-23,5.68
2015-03-24,5.6
2015-03-25,5.26
2015-03-26,5.24
2015-03-27,5.35
2015-03-30,5.37
2015-03-31,5.23
2015-04-01,5.25
2015-04-02,5.27
2015-04-06,5.42
2015-04-07,5.47
2015-04-08,5.51
2015-04-09,5.63
2015-04-10,5.69
2015-04-13,5.64
2015-04-14,5.59
2015-04-15,5.66
2015-04-16,5.62
2015-04-17,5.55
2015-04-20,5.52
2015-04-21,5.51
2015-04-22,5.58
2015-04-23,5.56
2015-04-24,5.51
2015-04-27,5.55
2015-04-28,5.58
2015-04-29,5.54
2015-04-30,5.55
2015-05-01,5.69
2015-05-04,5.65
2015-05-05,5.51
2015-05-06,5.53
2015-05-07,5.62
2015-05-08,5.21
2015-05-11,5.16
2015-05-12,5.21
2015-05-13,5.24
2015-05-14,5.32
2015-05-15,5.33
2015-05-18,5.32
2015-05-19,5.26
2015-05-20,5.26
2015-05-21,5.22
2015-05-22,5.22
2015-05-26,5.18
2015-05-27,5.46
2015-05-28,5.54
2015-05-29,5.53
2015-06-01,5.6
2015-06-02,5.48
2015-06-03,5.43
2015-06-04,5.52
2015-06-05,5.57
2015-06-08,5.44
2015-06-09,5.47
2015-06-10,5.37
2015-06-11,5.43
2015-06-12,5.28
2015-06-15,5.27
2015-06-16,5.33
2015-06-17,5.4
2015-06-18,5.49
2015-06-19,5.47
2015-06-22,5.44
2015-06-23,5.31
2015-06-24,5.25
2015-06-25,5.29
2015-06-26,5.19
2015-06-29,5.03
2015-06-30,5.03
2015-07-01,5.1
2015-07-02,5.11
2015-07-06,5.04
2015-07-07,4.95
2015-07-08,4.91
2015-07-09,4.85
2015-07-10,4.94
2015-07-13,4.97
2015-07-14,4.97
2015-07-15,4.94
2015-07-16,5.05
2015-07-17,5.02
2015-07-20,4.93
2015-07-21,4.95
2015-07-22,4.85
2015-07-23,4.91
2015-07-24,4.86
2015-07-27,4.83
2015-07-28,4.93
2015-07-29,4.99
2015-07-30,5.01
2015-07-31,4.99
2015-08-03,5.07
2015-08-04,5.09
2015-08-05,5.15
2015-08-06,5.11
2015-08-07,5.75
2015-08-10,5.95
2015-08-11,5.92
2015-08-12,5.93
2015-08-13,5.88
2015-08-14,5.89
2015-08-17,5.85
2015-08-18,5.77
2015-08-19,5.75
2015-08-20,5.54
2015-08-21,5.37
2015-08-24,5.18
2015-08-25,5.07
2015-08-26,5.45
2015-08-27,5.66
2015-08-28,5.68
2015-08-31,5.62
2015-09-01,5.39
2015-09-02,5.55
2015-09-03,5.57
2015-09-04,5.44
2015-09-08,5.67
2015-09-09,5.56
2015-09-10,5.65
2015-09-11,5.66
2015-09-14,5.67
2015-09-15,5.74
2015-09-16,5.78
2015-09-17,5.83
2015-09-18,5.82
2015-09-21,5.88
2015-09-22,5.72
2015-09-23,5.75
2015-09-24,5.86
2015-09-25,5.9
2015-09-28,5.83
2015-09-29,5.93
2015-09-30,6.16
2015-10-01,6.04
2015-10-02,6.2
2015-10-05,6.36
2015-10-06,6.44
2015-10-07,6.51
2015-10-08,6.54
2015-10-09,6.52
2015-10-12,6.59
2015-10-13,6.6
2015-10-14,6.84
2015-10-15,6.86
2015-10-16,6.97
2015-10-19,6.95
2015-10-20,6.94
2015-10-21,6.85
2015-10-22,7.1
2015-10-23,7.15
2015-10-26,7.12
2015-10-27,7.11
2015-10-28,7.17
2015-10-29,6.92
2015-10-30,7.09
2015-11-02,7.18
2015-11-03,7.13
2015-11-04,7.01
2015-11-05,6.93
2015-11-06,7.89
2015-11-09,7.85
2015-11-10,7.7
2015-11-11,7.63
2015-11-12,7.6
2015-11-13,7.45
2015-11-16,7.6
2015-11-17,7.6
2015-11-18,7.76
2015-11-19,7.78
2015-11-20,7.85
2015-11-23,7.73
2015-11-24,7.79
2015-11-25,7.78
2015-11-27,7.85
2015-11-30,7.93
2015-12-01,8.19
2015-12-02,8.13
2015-12-03,8.11
2015-12-04,8.44
2015-12-07,8.28
2015-12-08,8.39
2015-12-09,8.18
2015-12-10,8.24
2015-12-11,8.12
2015-12-14,8.14
2015-12-15,8.24
2015-12-16,8.29
2015-12-17,8.17
2015-12-18,8.04
2015-12-21,8.22
2015-12-22,8.23
2015-12-23,8.26
2015-12-24,8.29
2015-12-28,8.29
2015-12-29,8.42
2015-12-30,8.35
2015-12-31,8.24
2016-01-04,8.09
2016-01-05,8.22
2016-01-06,7.88
2016-01-07,7.57
2016-01-08,7.41
2016-01-11,7.42
2016-01-12,7.55
2016-01-13,7.32
2016-01-14,7.17
2016-01-15,6.78
2016-01-19,6.83
2016-01-20,6.87
2016-01-21,6.95
2016-01-22,7.11
2016-01-25,7.11
2016-01-26,7.18
2016-01-27,7.09
2016-01-28,7.01
2016-01-29,7.32
2016-02-01,7.33
2016-02-02,7.02
2016-02-03,7.05
2016-02-04,7.05
2016-02-05,6.61
2016-02-08,6.31
2016-02-09,6.37
2016-02-10,6.36
2016-02-11,6.33
2016-02-12,6.43
2016-02-16,6.75
2016-02-17,6.92
2016-02-18,7.51
2016-02-19,7.61
2016-02-22,7.88
2016-02-23,7.9
2016-02-24,7.96
2016-02-25,7.97
2016-02-26,7.92
2016-02-29,7.84
2016-03-01,8.19
2016-03-02,8.24
2016-03-03,8.16
2016-03-04,8.14
2016-03-07,8.09
2016-03-08,7.94
2016-03-09,7.93
2016-03-10,7.92
2016-03-11,8.06
2016-03-14,8.07
2016-03-15,8.04
2016-03-16,8.28
2016-03-17,8.21
2016-03-18,8.45
2016-03-21,8.48
2016-03-22,8.46
2016-03-23,8.61
2016-03-24,8.62
2016-03-28,8.71
2016-03-29,8.85
2016-03-30,8.94
2016-03-31,8.91
2016-04-01,9.04
2016-04-04,8.95
2016-04-05,8.94
2016-04-06,8.95
2016-04-07,8.86
2016-04-08,8.91
2016-04-11,8.97
2016-04-12,8.96
2016-04-13,9.19
2016-04-14,9.21
2016-04-15,9.28
2016-04-18,9.24
2016-04-19,9.08
2016-04-20,9.11
2016-04-21,9.1
2016-04-22,9.07
2016-04-25,9.11
2016-04-26,9.12
2016-04-27,9.33
2016-04-28,9.05
2016-04-29,8.88
2016-05-02,9
2016-05-03,8.89
2016-05-04,8.69
2016-05-05,8.74
2016-05-06,8.83
2016-05-09,8.82
2016-05-10,8.99
2016-05-11,9.02
2016-05-12,8.89
2016-05-13,10.25
2016-05-16,10.55
2016-05-17,10.57
2016-05-18,10.84
2016-05-19,10.89
2016-05-20,11.08
2016-05-23,11.1
2016-05-24,11.34
2016-05-25,11.29
2016-05-26,11.41
2016-05-27,11.48
2016-05-31,11.68
2016-06-01,11.7
2016-06-02,11.79
2016-06-03,11.62
2016-06-06,11.56
2016-06-07,11.58
2016-06-08,11.55
2016-06-09,11.85
2016-06-10,11.55
2016-06-13,11.7
2016-06-14,11.72
2016-06-15,11.84
2016-06-16,11.89
2016-06-17,11.68
2016-06-20,11.89
2016-06-21,11.82
2016-06-22,11.81
2016-06-23,12.12
2016-06-24,11.43
2016-06-27,11.31
2016-06-28,11.48
2016-06-29,11.66
2016-06-30,11.75
2016-07-01,11.67
2016-07-05,11.84
2016-07-06,11.91
2016-07-07,12.22
2016-07-08,12.71
2016-07-11,13.01
2016-07-12,13.2
2016-07-13,13.2
2016-07-14,13.33
2016-07-15,13.18
2016-07-18,13.24
2016-07-19,13.38
2016-07-20,13.56
2016-07-21,13.31
2016-07-22,13.67
2016-07-25,13.92
2016-07-26,14.16
2016-07-27,14.02
2016-07-28,14.05
2016-07-29,14.28
2016-08-01,14.18
2016-08-02,14.01
2016-08-03,14.05
2016-08-04,14.31
2016-08-05,14.55
2016-08-08,14.69
2016-08-09,14.72
2016-08-10,14.63
2016-08-11,14.93
2016-08-12,15.76
2016-08-15,15.75
2016-08-16,15.65
2016-08-17,15.29
2016-08-18,15.53
2016-08-19,15.57
2016-08-22,15.63
2016-08-23,15.73
2016-08-24,15.49
2016-08-25,15.38
2016-08-26,15.51
2016-08-29,15.5
2016-08-30,15.41
2016-08-31,15.34
2016-09-01,15.79
2016-09-02,15.63
2016-09-06,15.78
2016-09-07,15.55
2016-09-08,15.66
2016-09-09,14.88
2016-09-12,15.19
2016-09-13,14.97
2016-09-14,15.1
2016-09-15,15.67
2016-09-16,15.71
2016-09-19,15.92
2016-09-20,15.77
2016-09-21,16.22
2016-09-22,16.26
2016-09-23,16.24
2016-09-26,16.09
2016-09-27,16.64
2016-09-28,16.7
2016-09-29,16.85
2016-09-30,17.13
2016-10-03,17.11
2016-10-04,17.08
2016-10-05,17.06
2016-10-06,16.84
2016-10-07,16.71
2016-10-10,16.77
2016-10-11,16.53
2016-10-12,16.61
2016-10-13,16.34
2016-10-14,16.5
2016-10-17,16.4
2016-10-18,16.65
2016-10-19,16.62
2016-10-20,16.93
2016-10-21,16.89
2016-10-24,17.68
2016-10-25,17.97
2016-10-26,18.04
2016-10-27,17.67
2016-10-28,17.64
2016-10-31,17.79
2016-11-01,17.26
2016-11-02,17.19
2016-11-03,16.99
2016-11-04,16.89
2016-11-07,17.82
2016-11-08,17.79
2016-11-09,17.49
2016-11-10,16.94
2016-11-11,21.99
2016-11-14,20.91
2016-11-15,21.55
2016-11-16,22.91
2016-11-17,23.1
2016-11-18,23.34
2016-11-21,23.25
2016-11-22,23.41
2016-11-23,23.49
2016-11-25,23.54
2016-11-28,23.53
2016-11-29,23.31
2016-11-30,23.05
2016-12-01,21.91
2016-12-02,22.11
2016-12-05,22.97
2016-12-06,23.35
2016-12-07,23.77
2016-12-08,23.37
2016-12-09,22.96
2016-12-12,22.4
2016-12-13,22.79
2016-12-14,24.11
2016-12-15,24.68
2016-12-16,25.1
2016-12-19,25.41
2016-12-20,26.29
2016-12-21,26.46
2016-12-22,26.78
2016-12-23,27.45
2016-12-27,29.33
2016-12-28,27.31
2016-12-29,27.86
2016-12-30,26.69
2017-01-03,25.5
2017-01-04,26.1
2017-01-05,25.44
2017-01-06,25.78
2017-01-09,26.82
2017-01-10,26.62
2017-01-11,26.29
2017-01-12,25.86
2017-01-13,25.86
2017-01-17,25.28
2017-01-18,25.74
2017-01-19,26.29
2017-01-20,26
2017-01-23,26.27
2017-01-24,26.83
2017-01-25,26.95
2017-01-26,27.41
2017-01-27,27.94
2017-01-30,27.51
2017-01-31,27.3
2017-02-01,28.49
2017-02-02,28.85
2017-02-03,28.6
2017-02-06,29.33
2017-02-07,29.78
2017-02-08,29.65
2017-02-09,29.1
2017-02-10,28.41
2017-02-13,27.1
2017-02-14,27.2
2017-02-15,27.25
2017-02-16,26.81
2017-02-17,26.81
2017-02-21,27.77
2017-02-22,27.69
2017-02-23,25.12
2017-02-24,25.37
2017-02-27,26.1
2017-02-28,25.37
2017-03-01,25.7
2017-03-02,24.75
2017-03-03,24.61
2017-03-06,24.42
2017-03-07,24.69
2017-03-08,24.64
2017-03-09,24.64
2017-03-10,24.78
2017-03-13,25.46
2017-03-14,25.45
2017-03-15,25.64
2017-03-16,25.95
2017-03-17,26.52
2017-03-20,27.36
2017-03-21,26.48
2017-03-22,27.02
2017-03-23,26.77
2017-03-24,26.87
2017-03-27,27.06
2017-03-28,26.92
2017-03-29,26.84
2017-03-30,27.35
2017-03-31,27.23
2017-04-03,27.1
2017-04-04,25.2
2017-04-05,25.01
2017-04-06,25.19
2017-04-07,25.08
2017-04-10,24.44
2017-04-11,24.53
2017-04-12,24.33
2017-04-13,23.87
2017-04-17,24.81
2017-04-18,24.82
2017-04-19,24.92
2017-04-20,25.32
2017-04-21,25.42
2017-04-24,25.74
2017-04-25,26.19
2017-04-26,26.01
2017-04-27,26.41
2017-04-28,26.08
2017-05-01,26.66
2017-05-02,25.87
2017-05-03,26.06
2017-05-04,25.96
2017-05-05,25.97
2017-05-08,25.69
2017-05-09,25.74
2017-05-10,30.32
2017-05-11,31.63
2017-05-12,31.97
2017-05-15,33.58
2017-05-16,34.2
2017-05-17,31.93
2017-05-18,33.27
2017-05-19,34
2017-05-22,34.73
2017-05-23,34.26
2017-05-24,34.64
2017-05-25,34.57
2017-05-26,35.46
2017-05-30,36.22
2017-05-31,36.09
2017-06-01,36.09
2017-06-02,35.91
2017-06-05,37
2017-06-06,36.84
2017-06-07,37.28
2017-06-08,39.99
2017-06-09,37.4
2017-06-12,37.49
2017-06-13,37.85
2017-06-14,37.93
2017-06-15,38.09
2017-06-16,37.91
2017-06-19,39.33
2017-06-20,39.27
2017-06-21,39.87
2017-06-22,39.59
2017-06-23,38.46
2017-06-26,38.04
2017-06-27,36.65
2017-06-28,37.94
2017-06-29,36.67
2017-06-30,36.14
2017-07-03,34.83
2017-07-05,35.76
2017-07-06,35.87
2017-07-07,36.69
2017-07-10,38.42
2017-07-11,38.97
2017-07-12,40.63
2017-07-13,40.16
2017-07-14,41.24
2017-07-17,41.06
2017-07-18,41.49
2017-07-19,41.28
2017-07-20,41.88
2017-07-21,42.03
2017-07-24,41.54
2017-07-25,41.34
2017-07-26,41.82
2017-07-27,40.44
2017-07-28,41.1
2017-07-31,40.63
2017-08-01,41.12
2017-08-02,41.1
2017-08-03,41.62
2017-08-04,41.8
2017-08-07,43.09
2017-08-08,42.58
2017-08-09,43.03
2017-08-10,41.19
2017-08-11,38.99
2017-08-14,42.1
2017-08-15,41.75
2017-08-16,41.29
2017-08-17,40.37
2017-08-18,40.38
2017-08-21,39.79
2017-08-22,40.64
2017-08-23,41.45
2017-08-24,41.3
2017-08-25,40.95
2017-08-28,41.24
2017-08-29,41.18
2017-08-30,41.42
2017-08-31,42.36
2017-09-01,42.62
2017-09-05,41.48
2017-09-06,41.45
2017-09-07,41.65
2017-09-08,40.92
2017-09-11,42.25
2017-09-12,42.4
2017-09-13,42.59
2017-09-14,42.35
2017-09-15,45.03
2017-09-18,46.89
2017-09-19,46.84
2017-09-20,46.46
2017-09-21,45.19
2017-09-22,44.75
2017-09-25,42.75
2017-09-26,42.99
2017-09-27,43.93
2017-09-28,43.92
2017-09-29,44.69
2017-10-02,44.75
2017-10-03,44.84
2017-10-04,45.22
2017-10-05,45.19
2017-10-06,45.33
2017-10-09,46.35
2017-10-10,47.23
2017-10-11,47.74
2017-10-12,47.76
2017-10-13,48.65
2017-10-16,49.48
2017-10-17,49.44
2017-10-18,49.4
2017-10-19,49.45
2017-10-20,49.23
2017-10-23,49.16
2017-10-24,49.67
2017-10-25,48.42
2017-10-26,48.92
2017-10-27,50.47
2017-10-30,50.96
2017-10-31,51.7
2017-11-01,51.8
2017-11-02,51.49
2017-11-03,52.17
2017-11-06,52.41
2017-11-07,53.01
2017-11-08,52.29
2017-11-09,51.33
2017-11-10,54.04
2017-11-13,53.16
2017-11-14,53.55
2017-11-15,52.5
2017-11-16,52.9
2017-11-17,52.84
2017-11-20,53.52
2017-11-21,54.01
